ecode,cname,fye,filingDate,address,stkno
E05416,株式会社ＫＧ情報,2014-12-20,2015-03-13,香川県高松市今里町二丁目２番地10(同所は登記上の本店所在地であり、実際の業務は下記の場所で行っております。),2408.0
E02306,株式会社小野測器,2014-12-31,2015-03-13,神奈川県横浜市港北区新横浜三丁目９番３号,6858.0
E02396,興研株式会社,2014-12-31,2015-03-13,東京都千代田区四番町７番地,7963.0
E00816,協和発酵キリン株式会社,2014-12-31,2015-03-13,東京都千代田区大手町一丁目６番１号,4151.0
E05223,サイバネットシステム株式会社,2014-12-31,2015-03-16,東京都千代田区神田練塀町３番地,4312.0
E02794,東邦レマック株式会社,2014-12-20,2015-03-16,東京都文京区湯島三丁目42番６号,7422.0
E02701,トラスコ中山株式会社,2014-12-31,2015-03-17,東京都港区新橋四丁目28番１号,9830.0
E03517,株式会社ブロンコビリー,2014-12-31,2015-03-18,愛知県名古屋市名東区平和が丘一丁目75番地,3091.0
E01039,株式会社ミルボン,2014-12-20,2015-03-18,大阪市都島区善源寺町２丁目３番35号,4919.0
E05479,ルーデン・ホールディングス株式会社,2014-12-31,2015-03-19,東京都新宿区西新宿７丁目22番36号　三井花桐ビル４階,1400.0
E02097,太洋工業株式会社,2014-12-20,2015-03-19,和歌山県和歌山市有本661番地,6663.0
E31055,GMO TECH株式会社,2014-12-31,2015-03-19,東京都渋谷区桜丘町26番１号,6026.0
E30857,ＧＭＯリサーチ株式会社,2014-12-31,2015-03-19,東京都渋谷区桜丘町26番１号,3695.0
E01659,株式会社長府製作所,2014-12-31,2015-03-20,山口県下関市長府扇町２番１号,5946.0
E03482,株式会社ＴＲＵＣＫ－ＯＮＥ,2014-12-31,2015-03-20,山口県下松市生野屋南三丁目３番40号,3047.0
E01350,カナレ電気株式会社,2014-12-31,2015-03-20,愛知県日進市藤枝町奥廻間1201番地10,5819.0
E01728,株式会社妙徳,2014-12-31,2015-03-20,東京都大田区下丸子二丁目６番18号,6265.0
